adult,genres,id,original_language,popularity,production_companies,production_countries,runtime,spoken_languages,status,title,vote_average,vote_count,likeable
0,27,820609,26.0,0.03072027847071851,127928,235.0,93,26.0,1,No One Will Save You,0.7000000000000001,0.019153661984019386,0
0,35,912908,26.0,0.029366335602802163,33,235.0,93,26.0,1,Strays,0.8,0.013471024317073874,1
0,14,9479,26.0,0.033869817190276603,8601,235.0,76,26.0,1,The Nightmare Before Christmas,0.8,0.24844953413909482,1
0,28,1034587,101.0,0.025192792290840944,69125,103.0,137,101.0,1,Amigos,0.5,0.0002596128883376121,0
0,28,734253,43.0,0.0274344027835816,138739,103.0,179,43.0,1,Adipurush,0.5,0.0016730608359535005,0
0,53,724209,26.0,0.0321186821041198,82819,235.0,124,26.0,1,Heart of Stone,0.7000000000000001,0.03663426313208527,0
0,16,1040148,26.0,0.029345371507684258,521,112.0,91,26.0,1,"Ruby Gillman, Teenage Kraken",0.7000000000000001,0.02076903106700897,0
0,53,156022,26.0,0.032933327142593845,41096,235.0,132,26.0,1,The Equalizer,0.7000000000000001,0.23841116912337382,1
0,16,1186402,26.0,0.025332928121293476,148496,40.0,45,26.0,1,Strawberry Shortcake and the Beast of Berry Bog,0.7000000000000001,0.00017307525889174142,0
0,28,536437,26.0,0.027532329026548428,77863,234.0,94,26.0,1,Hypnotic,0.6000000000000001,0.019672887760694608,0
0,28,840326,32.0,0.025850699061118077,62408,75.0,91,26.0,1,Sisu,0.8,0.041134219863270545,1
0,16,900667,52.0,0.029416565011910145,5542,112.0,115,52.0,1,One Piece Film Red,0.7000000000000001,0.021778636743877464,0
0,53,1002338,49.0,0.025856327006116175,91291,83.0,112,26.0,1,Operation Napoleon,0.6000000000000001,0.0010961433063143623,0
0,16,1150537,26.0,0.02104457473137115,17412,235.0,0,26.0,1,"Justice League x RWBY: Super Heroes & Huntsmen, Part Two",0.9,0.00017307525889174142,1
0,28,634649,26.0,0.028950149070193144,420,235.0,148,26.0,1,Spider-Man: No Way Home,0.8,0.5316295035624657,1
0,16,614930,26.0,0.03279445759976588,4,40.0,100,26.0,1,Teenage Mutant Ninja Turtles: Mutant Mayhem,0.7000000000000001,0.0223555542735166,0
0,35,1181678,28.0,0.025089238102876027,210842,144.0,100,28.0,1,¿Quieres ser mi hijo?,0.9,0.0045288026076672335,1
0,18,680133,14.0,0.03059449390001112,164283,19.0,176,14.0,1,Mujib: The Making of a Nation,0.8,5.769175296391381e-05,1
0,10770,1146147,26.0,0.022035233749660568,5371,235.0,72,26.0,1,A Really Haunted Loud House,0.5,0.0002596128883376121,0
0,27,1032948,26.0,0.032318192754302213,15157,144.0,110,28.0,1,V/H/S/85,0.7000000000000001,0.002105748983182854,0
0,18,517093,90.0,0.02829772954628915,109270,183.0,130,90.0,1,Balkan Line,0.8,0.010384515533504486,1
0,28,1006462,26.0,0.02243875740602387,64948,220.0,93,26.0,1,The Flood,0.7000000000000001,0.00605763406121095,0
0,28,1006462,26.0,0.02243875740602387,64948,220.0,93,26.0,1,The Flood,0.7000000000000001,0.00605763406121095,0
0,16,14836,26.0,0.027970886640524866,11537,235.0,100,26.0,1,Coraline,0.8,0.2036807338390977,1
0,10749,912916,26.0,0.04580640713398309,20788,235.0,91,26.0,1,The Other Zoey,0.7000000000000001,0.002942279401159604,0
0,27,934433,26.0,0.027334225362615535,126588,235.0,123,26.0,1,Scream VI,0.7000000000000001,0.05656676378111749,0
0,27,296271,26.0,0.023758932603951663,20473,60.0,111,26.0,1,The Devil Conspiracy,0.6000000000000001,0.008884529956442726,0
0,27,758323,26.0,0.022230804838344317,3287,209.0,103,26.0,1,The Pope's Exorcist,0.7000000000000001,0.05999942308247036,0
0,16,1019105,26.0,0.024211700779048287,154887,235.0,62,26.0,1,The Paloni Show! Halloween Special!,0.6000000000000001,0.0006634551590850088,0
0,27,439079,26.0,0.029312025933570553,12,235.0,96,26.0,1,The Nun,0.6000000000000001,0.17921943058239825,1
0,10749,3933,26.0,0.02833262280527733,8601,234.0,77,26.0,1,Corpse Bride,0.8,0.24017076758877318,1
0,28,291015,52.0,0.023746269727705955,32410,112.0,24,52.0,1,Under the Dog,0.7000000000000001,0.0005480716531571811,0
0,16,1147400,35.0,0.02833402979152685,79650,76.0,50,35.0,1,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",0.8,0.0006634551590850088,1
0,27,176,26.0,0.02437181581424405,2061,235.0,103,26.0,1,Saw,0.7000000000000001,0.2449014913318141,1
0,27,614479,26.0,0.02491280202718579,3172,235.0,107,26.0,1,Insidious: The Red Door,0.7000000000000001,0.03666310900856722,0
0,12,671,26.0,0.024879315754447136,174,234.0,152,26.0,1,Harry Potter and the Philosopher's Stone,0.8,0.7361756136960221,1
0,16,1083862,52.0,0.022800352872151385,7220,112.0,91,26.0,1,Resident Evil: Death Island,0.8,0.020624801684599188,1
0,35,763165,26.0,0.04161682417877731,10138,235.0,127,26.0,1,The Burial,0.7000000000000001,0.004961490754896588,0
0,16,568124,26.0,0.024707804130630236,6125,235.0,102,26.0,1,Encanto,0.8,0.2504398996163498,1
0,14,455476,26.0,0.024513640028196008,11341,112.0,113,26.0,1,Knights of the Zodiac,0.7000000000000001,0.02503822078633859,0
0,28,1085218,22.0,0.020849285039937306,64293,61.0,110,5.0,1,Darkland: The Return,0.7000000000000001,0.008047999538465977,0
0,28,1049951,26.0,0.022755188613541685,111974,234.0,82,26.0,1,Viking: Bloodlust,0.7000000000000001,0.0017595984653993712,0
0,35,714964,26.0,0.03131740343501623,137373,235.0,101,26.0,1,A Little White Lie,0.6000000000000001,0.000576917529639138,0
0,99,1174725,23.0,0.016049351449688287,27030,83.0,90,23.0,1,Race to the Summit,0.7000000000000001,0.0008653762944587071,0
0,28,697843,26.0,0.022777559694909105,106544,15.0,123,26.0,1,Extraction 2,0.7000000000000001,0.05472062768627225,0
0,9648,945729,26.0,0.02760577370877355,127928,234.0,104,26.0,1,A Haunting in Venice,0.7000000000000001,0.01909597023105547,0
0,878,670292,26.0,0.02364060506036675,10104,40.0,134,26.0,1,The Creator,0.7000000000000001,0.01332679493466409,0
0,9648,1172009,26.0,0.019358583108567282,203941,162.0,124,26.0,1,The Black Book,0.7000000000000001,0.0011826809357602332,0
0,53,635910,26.0,0.02308160942343111,11317,83.0,119,26.0,1,The Last Voyage of the Demeter,0.7000000000000001,0.023769002221132488,0
0,35,928217,35.0,0.015195310796227591,90357,76.0,98,35.0,1,Two Of A Kind,0.6000000000000001,0.003374967548388958,0
0,27,1081662,26.0,0.018147449344977553,182016,235.0,94,26.0,1,Appendage,0.6000000000000001,0.0019038278478091556,0
